Country_code_A3,Name,Substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABW,Aruba,NH3,0.188707558,0.190226249,0.187757555,0.178913571,0.193371821,0.177429672,0.183054911,0.177837885,0.169250085,0.176171827,0.181184721,0.181606992,0.186821431,0.186969304,0.185316959,0.185367456,0.178058801,0.169676623,0.094246575,0.086778771,0.762247781,0.730013477,0.705472541,0.721327486,0.708369649,0.684458643,0.755534181,0.67848075,0.663585954,0.667618076,0.627985225,0.615066478,0.620853575,0.571898683,0.564436225,0.551007199,0.515760439,0.519785086,0.535249758,0.521622943,0.550121992,0.589052554,0.533901947,0.526356495,0.528854283,0.530559573,0.534966717,0.579732571,0.605561869
ABW,Aruba,CO,0.111665693,0.111988246,0.108442838,0.112426102,0.115793579,0.125606206,0.128288918,0.12853385,0.130114566,0.126436665,0.130751871,0.130298128,0.133995101,0.134129071,0.136948134,0.136655743,0.140779146,0.142130899,0.143736213,0.142682209,0.142517759,0.143110226,0.144358374,0.103247289,0.103956034,0.106081704,0.104505657,0.107799927,0.11578466,0.118482698,0.147624029,0.147120512,0.14634182,0.146279142,0.146907694,0.147063368,0.144012725,0.144316455,0.144529352,0.144520904,0.14170224,0.145204717,0.144912246,0.144611182,0.143634176,0.143510422,0.144112069,0.145405438,0.143211888
ABW,Aruba,NOx,0.052703387,0.052894159,0.050674218,0.051064932,0.057024562,0.062427132,0.066032576,0.065537069,0.066070334,0.063931537,0.076357983,0.076001164,0.081570297,0.084557152,0.090749327,0.089503669,0.085012934,0.087080958,0.088655868,0.089191486,0.089859027,0.090831406,0.093848428,0.084011528,0.085477717,0.087373596,0.087766663,0.088433962,0.098438049,0.107254155,0.111337247,0.110455078,0.106688232,0.105885075,0.106075464,0.107126562,0.103386791,0.104333032,0.104228472,0.104645335,0.100394769,0.099757207,0.100140542,0.098837288,0.099452258,0.098592197,0.09964091,0.10590646,0.104896973
ABW,Aruba,OC,0.032992062,0.03358223,0.029672812,0.028140266,0.03849772,0.037204255,0.049070962,0.043915487,0.049765496,0.051715199,0.06136941,0.05391533,0.056461502,0.060371796,0.067009409,0.069214555,0.066192113,0.069695806,0.076579812,0.076474392,0.075158903,0.077811323,0.080651328,0.077330688,0.079383938,0.081081336,0.079741436,0.083008162,0.109440495,0.126110266,0.123762561,0.123290633,0.119735968,0.120355243,0.122469899,0.123437069,0.119311478,0.124413699,0.12754332,0.124020141,0.122787206,0.123212426,0.127433344,0.123895245,0.124238019,0.125174887,0.125981671,0.128296991,0.127590232
ABW,Aruba,PM10,0.036494815,0.036889863,0.036271433,0.036213138,0.04055827,0.041981618,0.045410352,0.04447923,0.046772513,0.047207834,0.051244082,0.049230927,0.050270261,0.051997518,0.053776783,0.054671444,0.052761983,0.049142356,0.053396469,0.053888488,0.131245308,0.121646463,0.116986265,0.100504523,0.09715939,0.105399134,0.129076996,0.107613924,0.102031728,0.106764449,0.102648992,0.102804639,0.101482776,0.098042708,0.097269857,0.098019802,0.097971747,0.100722235,0.103960904,0.100876928,0.103283033,0.104022677,0.097694363,0.095325263,0.095537622,0.096435628,0.096545947,0.101918262,0.101954966
ABW,Aruba,NMVOC,0.0451236,0.045228979,0.044739397,0.044499244,0.045605729,0.047899514,0.049319223,0.049185005,0.049616756,0.048584851,0.053388968,0.052592364,0.054159916,0.055399698,0.058966929,0.057774181,0.055599714,0.057438729,0.074237414,0.075651081,0.097737862,0.097831473,0.098257671,0.091816149,0.091579327,0.092031167,0.091080026,0.090612884,0.092603341,0.094261983,0.112999392,0.112954378,0.107169634,0.104234363,0.105480139,0.105355526,0.097127493,0.097511448,0.098229336,0.09744524,0.089152176,0.09132209,0.087909095,0.085558391,0.084046143,0.083579034,0.083429866,0.083280955,0.081683219
ABW,Aruba,BC,0.040720675,0.042050056,0.042795537,0.041502657,0.052126161,0.052204219,0.057325752,0.054719286,0.058382465,0.061191018,0.068964433,0.065085448,0.06729809,0.069803223,0.066758425,0.066993508,0.066822444,0.058379817,0.06565225,0.069598996,0.069067067,0.073055146,0.075557849,0.054214971,0.056032473,0.072060034,0.071526839,0.076905772,0.082855234,0.089224884,0.091960109,0.093624608,0.089993121,0.092935059,0.094945007,0.097872001,0.097729195,0.102024288,0.104896955,0.103677434,0.108601633,0.096611093,0.099894871,0.097320275,0.097651726,0.099441529,0.094885079,0.097311111,0.097691503
ABW,Aruba,PM2.5,0.035209343,0.035747994,0.034832948,0.03453227,0.040334387,0.041544857,0.046463243,0.044887366,0.04780258,0.048707066,0.054356057,0.051550664,0.05297408,0.055348137,0.057421817,0.058276165,0.056117699,0.052840509,0.057969351,0.059017893,0.077671326,0.076825668,0.077535992,0.063274629,0.063345079,0.072025899,0.077884641,0.074898705,0.080882645,0.088930234,0.088998881,0.089712871,0.086830242,0.08728766,0.088382922,0.089698462,0.088504737,0.092365746,0.094830226,0.092921734,0.094813967,0.088707467,0.090357945,0.0878255,0.088063889,0.089106729,0.087272108,0.090224584,0.090328454
ABW,Aruba,SO2,0.037921176,0.037921147,0.034366084,0.034856861,0.037356086,0.040151262,0.044623108,0.043619973,0.046170873,0.044509061,0.047556469,0.045742709,0.047414033,0.048070824,0.056159229,0.057944751,0.054861753,0.053494508,0.055176025,0.053189211,0.053824776,0.054624546,0.058159487,0.054016045,0.054935157,0.057493131,0.057915854,0.059009034,0.066581579,0.078780795,0.07401779,0.073889213,0.070607806,0.069841048,0.068380327,0.068329223,0.066881589,0.067860034,0.068318177,0.067519349,0.066528001,0.06921219,0.069104643,0.066588999,0.067657527,0.0674261,0.069568875,0.072836681,0.072835213
AFG,Afghanistan,NH3,0.980740035,0.980292205,0.97490548,0.976925846,0.975576558,0.976212286,0.974445063,0.971394378,0.970687948,0.970233627,0.969084564,0.971236144,0.969545082,0.968530556,0.962537753,0.959197711,0.953580908,0.95582853,0.956970755,0.956257637,0.955580775,0.957384405,0.958031919,0.956449935,0.966864784,0.951597508,0.94734784,0.949286832,0.948696997,0.951761174,0.943074758,0.933367917,0.939325286,0.936004548,0.936686114,0.938412417,0.936112766,0.935002556,0.937336196,0.939137747,0.942545159,0.929767105,0.928930897,0.931209647,0.932837524,0.928107009,0.927857141,0.924610136,0.925002765
AFG,Afghanistan,OC,0.746863259,0.741267977,0.769200251,0.772094333,0.772734631,0.773742307,0.776432543,0.761834354,0.766342255,0.755862108,0.746772117,0.736275242,0.729478724,0.717715336,0.676881301,0.702169824,0.698130269,0.716546506,0.694453082,0.686022062,0.672212199,0.675262675,0.666471085,0.692186996,0.693416064,0.616867051,0.550593119,0.580914871,0.524886404,0.51684699,0.474047824,0.526874145,0.59129591,0.548849873,0.57979852,0.669239251,0.636629115,0.669863367,0.541028523,0.671312691,0.606505823,0.561399541,0.627996817,0.619303987,0.628450097,0.621724367,0.626979743,0.588659616,0.55260178
AFG,Afghanistan,PM2.5,0.667931319,0.662140095,0.691993555,0.693499823,0.691630441,0.687832955,0.691010991,0.667456142,0.672946803,0.659816262,0.649445183,0.630731289,0.624239486,0.60528771,0.552654555,0.548222947,0.540987924,0.559572452,0.542781008,0.542088039,0.532949097,0.538860348,0.557834329,0.585199608,0.588236506,0.514946787,0.446735615,0.47648,0.413183931,0.407957727,0.376885592,0.423449684,0.479983503,0.423473268,0.463038565,0.544665307,0.510899755,0.515147985,0.379647671,0.489679364,0.418406626,0.332154166,0.404757762,0.413352045,0.424363895,0.441875693,0.454521535,0.407982706,0.375820053
AFG,Afghanistan,NOx,0.641903324,0.638804768,0.596227404,0.606008675,0.593777707,0.590323387,0.614463964,0.551317741,0.583589371,0.554764769,0.561921532,0.504021659,0.517095057,0.445621806,0.422383644,0.361406941,0.371205412,0.373176272,0.375455121,0.397813797,0.399019202,0.415551067,0.522688436,0.536394002,0.536026504,0.534796991,0.536744541,0.583269177,0.549047105,0.582945452,0.603723988,0.606635988,0.676023719,0.570928978,0.629788052,0.607600596,0.559717455,0.522332257,0.354523025,0.318948035,0.280084745,0.20701861,0.239874408,0.279186112,0.310162629,0.307182893,0.374888137,0.330449386,0.299852142
AFG,Afghanistan,PM10,0.598444029,0.592007631,0.621161388,0.623415554,0.621313457,0.618883659,0.620780256,0.597989216,0.6034262,0.590471602,0.579654296,0.563999704,0.558319189,0.541817669,0.499299243,0.491280163,0.485252106,0.502068826,0.486321996,0.482249213,0.471289023,0.474982622,0.484878296,0.505914847,0.505460105,0.421965686,0.370026723,0.388879114,0.345537689,0.334078293,0.301360804,0.325957909,0.378492842,0.349849829,0.36750719,0.431152093,0.39843962,0.407921668,0.313776349,0.397578605,0.34946228,0.279954092,0.333101448,0.338930918,0.34666485,0.349315034,0.352598901,0.32065956,0.29751646
